champion_name,top,jungle,middle,bottom,support
aatrox,79.98,17.21,2.16,0.0,0.0
ahri,0.0,0.0,96.9,0.0,0.0
akali,30.79,0.0,68.88,0.0,0.0
akshan,7.02,0.0,89.28,2.48,0.0
alistar,0.0,0.0,0.0,0.0,97.95
ambessa,53.42,41.51,4.76,0.0,0.0
amumu,0.0,82.03,0.0,0.0,17.14
anivia,23.23,0.0,60.9,0.0,14.28
annie,4.73,0.0,84.36,0.0,9.68
aphelios,0.0,0.0,0.0,98.54,0.0
ashe,0.0,0.0,0.0,94.25,4.69
aurelion_sol,5.1,2.45,68.66,21.72,2.07
aurora,18.86,0.0,79.28,0.0,0.0
azir,7.07,0.0,91.54,0.0,0.0
bard,0.0,0.0,0.0,0.0,99.64
belveth,2.93,95.28,0.0,0.0,0.0
blitzcrank,0.0,0.0,0.0,0.0,99.39
brand,5.28,8.27,17.68,27.58,41.19
braum,0.0,0.0,0.0,0.0,99.79
briar,4.57,89.47,4.75,0.0,0.0
caitlyn,0.0,0.0,0.0,98.54,0.0
camille,70.36,3.11,0.0,0.0,24.52
cassiopeia,26.03,0.0,62.08,10.54,0.0
chogath,67.36,11.21,17.33,0.0,3.0
corki,2.11,0.0,10.14,87.19,0.0
darius,89.11,9.35,0.0,0.0,0.0
diana,0.0,49.16,48.66,0.0,0.0
dr_mundo,79.54,17.16,2.27,0.0,0.0
draven,2.83,0.0,0.0,95.33,0.0
ekko,0.0,52.91,44.11,0.0,0.0
elise,3.79,66.85,0.0,0.0,28.06
evelynn,0.0,96.73,0.0,0.0,0.0
ezreal,0.0,0.0,3.47,93.46,2.09
fiddlesticks,9.32,70.97,2.79,0.0,16.79
fiora,93.77,0.0,0.0,3.71,0.0
fizz,2.01,11.1,85.58,0.0,0.0
galio,5.21,0.0,81.28,0.0,13.15
gangplank,92.05,0.0,7.63,0.0,0.0
garen,93.25,0.0,5.86,0.0,0.0
gnar,98.57,0.0,0.0,0.0,0.0
gragas,63.64,18.99,12.08,0.0,5.19
graves,0.0,97.8,0.0,0.0,0.0
gwen,65.93,20.93,12.57,0.0,0.0
hecarim,0.0,99.64,0.0,0.0,0.0
heimerdinger,65.23,0.0,16.54,7.27,10.23
hwei,0.0,0.0,74.75,12.43,11.23
illaoi,96.42,0.0,2.92,0.0,0.0
irelia,61.87,0.0,37.02,0.0,0.0
ivern,6.13,81.38,0.0,0.0,10.53
janna,0.0,0.0,0.0,0.0,99.02
jarvan_iv,0.0,92.72,0.0,0.0,5.15
jax,71.93,26.01,0.0,0.0,0.0
jayce,64.76,23.6,10.98,0.0,0.0
jhin,0.0,0.0,0.0,97.87,0.0
jinx,0.0,0.0,0.0,99.64,0.0
kaisa,0.0,0.0,0.0,95.82,0.0
kalista,8.01,0.0,3.88,87.53,0.0
karma,0.0,0.0,0.0,0.0,95.99
karthus,3.83,55.71,6.84,32.25,0.0
kassadin,4.08,0.0,95.54,0.0,0.0
katarina,0.0,0.0,90.67,7.07,0.0
kayle,80.51,0.0,17.47,0.0,0.0
kayn,3.84,95.59,0.0,0.0,0.0
kennen,79.14,0.0,14.91,2.49,3.32
khazix,0.0,99.49,0.0,0.0,0.0
kindred,0.0,96.54,0.0,0.0,0.0
kled,90.06,0.0,7.4,0.0,0.0
kogmaw,4.36,0.0,14.79,78.35,2.35
ksante,95.52,0.0,2.69,0.0,0.0
leblanc,2.19,0.0,85.27,0.0,12.24
lee_sin,0.0,95.88,0.0,0.0,0.0
leona,0.0,0.0,0.0,0.0,99.52
lillia,0.0,97.63,0.0,0.0,0.0
lissandra,5.92,0.0,90.35,0.0,3.32
lucian,0.0,0.0,0.0,97.01,0.0
lulu,0.0,0.0,0.0,0.0,99.11
lux,0.0,0.0,36.03,7.02,56.44
malphite,78.56,7.82,10.15,0.0,3.37
malzahar,7.96,0.0,88.52,0.0,0.0
maokai,19.04,13.34,0.0,0.0,66.88
master_yi,10.94,85.38,0.0,0.0,0.0
mel,0.0,0.0,51.81,17.4,29.96
milio,0.0,0.0,0.0,0.0,99.89
miss_fortune,0.0,0.0,0.0,96.13,2.76
mordekaiser,90.89,5.19,3.15,0.0,0.0
morgana,0.0,5.64,9.2,0.0,82.84
naafiri,5.8,62.9,30.08,0.0,0.0
nami,0.0,0.0,0.0,0.0,99.91
nasus,72.96,15.12,10.56,0.0,0.0
nautilus,0.0,0.0,0.0,0.0,98.21
neeko,3.75,3.14,14.98,0.0,77.57
nidalee,2.9,86.1,0.0,0.0,9.24
nilah,0.0,0.0,0.0,98.79,0.0
nocturne,0.0,98.0,0.0,0.0,0.0
nunu__willump,0.0,79.52,15.17,0.0,4.44
olaf,86.21,10.15,0.0,0.0,0.0
orianna,0.0,0.0,96.61,0.0,0.0
ornn,96.18,0.0,0.0,0.0,0.0
pantheon,30.05,19.39,11.04,0.0,39.17
poppy,36.12,13.44,0.0,0.0,49.34
pyke,0.0,0.0,0.0,0.0,98.54
qiyana,4.24,32.93,60.39,0.0,2.03
quinn,40.5,43.1,13.22,0.0,0.0
rakan,0.0,0.0,0.0,0.0,98.78
rammus,4.21,90.2,0.0,0.0,4.92
reksai,7.62,90.09,0.0,0.0,0.0
rell,0.0,0.0,0.0,0.0,99.21
renata_glasc,0.0,0.0,0.0,0.0,99.32
renekton,95.18,0.0,4.6,0.0,0.0
rengar,5.77,91.63,0.0,0.0,0.0
riven,76.21,3.93,18.69,0.0,0.0
rumble,84.26,5.73,7.95,0.0,0.0
ryze,19.26,0.0,79.62,0.0,0.0
samira,0.0,0.0,0.0,98.77,0.0
sejuani,14.4,79.78,3.12,0.0,2.64
senna,0.0,0.0,0.0,34.08,64.51
seraphine,0.0,0.0,2.19,8.56,89.13
sett,93.1,0.0,2.78,0.0,2.8
shaco,2.16,76.68,0.0,0.0,20.81
shen,76.76,10.59,0.0,0.0,10.92
shyvana,7.29,92.12,0.0,0.0,0.0
singed,84.36,0.0,9.88,0.0,2.31
sion,79.74,2.91,13.27,0.0,3.32
sivir,0.0,0.0,0.0,98.75,0.0
skarner,14.66,57.15,0.0,0.0,27.27
smolder,3.25,0.0,5.6,91.02,0.0
sona,0.0,0.0,0.0,0.0,99.39
soraka,0.0,0.0,0.0,0.0,98.17
swain,11.66,0.0,17.58,23.29,47.44
sylas,8.47,36.91,47.49,0.0,6.89
syndra,0.0,0.0,91.2,5.06,2.21
tahm_kench,41.93,0.0,0.0,5.14,51.2
taliyah,0.0,29.42,61.67,2.5,4.59
talon,0.0,67.96,30.93,0.0,0.0
taric,0.0,2.68,0.0,0.0,95.11
teemo,75.76,8.85,2.45,6.15,6.79
thresh,0.0,0.0,0.0,0.0,99.68
tristana,2.17,0.0,9.18,88.31,0.0
trundle,64.69,28.29,2.18,0.0,4.56
tryndamere,83.68,5.37,10.36,0.0,0.0
twisted_fate,9.1,0.0,85.61,0.0,3.06
twitch,0.0,2.98,2.78,88.77,5.11
udyr,22.56,75.4,0.0,0.0,0.0
urgot,95.65,0.0,0.0,0.0,0.0
varus,27.04,0.0,4.49,67.52,0.0
vayne,38.0,0.0,0.0,58.59,0.0
veigar,3.45,0.0,71.75,18.36,6.42
velkoz,2.9,0.0,24.42,13.26,59.4
vex,0.0,0.0,94.77,0.0,2.18
vi,2.39,94.25,0.0,0.0,0.0
viego,0.0,96.6,0.0,0.0,0.0
viktor,2.86,0.0,94.35,2.57,0.0
vladimir,23.73,0.0,66.03,10.14,0.0
volibear,65.58,32.87,0.0,0.0,0.0
warwick,30.59,67.95,0.0,0.0,0.0
wukong,18.74,77.74,0.0,0.0,0.0
xayah,0.0,0.0,0.0,99.32,0.0
xerath,0.0,0.0,59.96,7.08,32.62
xin_zhao,18.08,67.1,13.86,0.0,0.0
yasuo,25.47,0.0,64.3,9.67,0.0
yone,51.85,0.0,46.97,0.0,0.0
yorick,93.77,0.0,3.99,0.0,0.0
yunara,0.0,0.0,0.0,99.36,0.0
yuumi,0.0,0.0,0.0,0.0,99.86
zaahen,77.05,19.9,0.0,0.0,0.0
zac,14.06,71.9,5.63,0.0,8.3
zed,4.89,21.65,72.64,0.0,0.0
zeri,0.0,0.0,0.0,95.52,0.0
ziggs,0.0,0.0,30.71,64.25,4.23
zilean,4.55,0.0,7.83,0.0,86.84
zoe,3.54,0.0,76.06,0.0,19.69
zyra,0.0,23.5,4.19,4.13,67.38
